age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-13005;-1.7409604549408;449223;13231;14707;2249;0;0.21;2;32.0184279893506;24.000179860576328;0;8.018248128774273;0;0
-13004;-1.7409604549408;451115;13217;14574;2285;0;0.21;0;0;0;0;0;0;0
-13003;-0.5409604549407998;466432;16903;18558;2435;0;0.2;0;0;0;0;0;0;0
-13002;-0.5409604549407998;468001;17212;18518;2439;0;0.2;2;4472.64288498481;2786.125045225866;1608.4317023266135;78.08613743233052;0;0
-13001;-1.3409604549407999;458485;13704;15827;2412;0;0.2;2;2689.9934345241513;2414.4541067508135;7.401792790203047;268.13753498313446;0;0
-13000;-0.040960454940799806;470854;17244;19889;2565;0;0.2;2;537.9926287081506;537.9926287081506;0;0;0;0
-12999;-1.0409604549407998;462533;14904;16477;2484;0;0.19;0;0;0;0;0;0;0
-12998;-0.8409604549407999;466731;15664;17244;2561;0;0.19;0;0;0;0;0;0;0
-12997;0.05903954505920006;476602;18212;20331;2650;0;0.19;2;1780.5538708940117;1760.3351133948736;0;20.218757499137965;0;0
-12996;-1.0409604549407998;466162;15530;16680;2603;0;0.18;2;31.72070988446452;31.72070988446452;0;0;0;0
-12995;-1.9409604549408;456657;12736;13662;2509;0;0.18;0;0;0;0;0;0;0
-12994;-1.4409604549408;465144;14318;15204;2608;0;0.18;2;2416.158119587916;2242.0001286726;0;174.15799091531622;0;0
-12993;-0.7409604549407999;472556;16661;17294;2696;0;0.18;0;0;0;0;0;0;0
-12992;-1.0409604549407998;470865;16013;16234;2683;0;0.17;0;0;0;0;0;0;0
-12991;-1.8409604549407999;462448;13409;13726;2621;0;0.17;2;15062.095465755196;14862.210155876628;0;199.88530987856697;0;0
-12990;-1.5409604549407998;453635;14467;14476;2688;0;0.17;2;13391.768382141629;12859.451321566721;0;532.3170605749071;0;0
-12989;-1.3409604549407999;444524;15279;14521;2737;0;0.17;0;0;0;0;0;0;0
-12988;-1.0409604549407998;449309;16476;15475;2747;0;0.16;2;0;0;0;0;0;0
-12987;-1.4409604549408;446543;15350;14146;2758;0;0.16;0;0;0;0;0;0;0
-12986;-0.9409604549407999;453394;17285;15710;2816;0;0.16;2;3201.632554611404;3023.01022988978;0;178.6223247216238;0;0
-12985;-0.9409604549407999;451924;17559;15552;2815;0;0.16;2;2474.91372196295;1840.5358591691142;436.19231106989764;99.25325404945507;98.93229767448359;0
-12984;-1.0409604549407998;450960;16937;15273;2713;0;0.16;0;0;0;0;0;0;0
-12983;-0.6409604549407999;456382;18594;16620;2732;0;0.15;2;0;0;0;0;0;0
-12982;-0.44096045494079994;459393;19506;17362;2720;0;0.15;0;0;0;0;0;0;0
-12981;-2.0409604549408;443954;13921;12536;2638;0;0.15;0;0;0;0;0;0;0
-12980;-2.8409604549407996;432989;10907;10297;2423;0;0.15;0;0;0;0;0;0;0
-12979;-2.5409604549408;439546;11736;10849;2451;0;0.15;2;8602.414755228961;7588.891898867289;618.1291747383849;395.3936816232874;0;0
-12978;-2.2409604549408;437591;12222;11083;2482;0;0.15;0;0;0;0;0;0;0
-12977;-2.3409604549407996;437279;12027;10618;2404;0;0.15;0;0;0;0;0;0;0
-12976;-1.3409604549407999;451707;15588;13214;2510;0;0.15;2;293.7242064824567;266.0771917325491;21.486411544974793;6.1606032049327855;0;0
